read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
NRA293_S103_L008_R1_001_fastxclipper_trimmed,2341120,209246489,1.0,CP008706,47.62,13.29,2108948.0,188615207.6,3972672,49.82,12.36,CP008707,48.56,14.48,39289.0,3461469.0,83610,63.75,27.06,CP008708,754.29,226.74,73367.0,6513620.0,8731,473.32,72.87,CP008709,5019.62,637.25,103874.0,9044705.0,1967,4204.7,135.0
NRA294_S104_L008_R1_001_fastxclipper_trimmed,1978434,177741610,1.0,CP008706,40.0,13.9,1760913.0,158296101.53,3972672,43.69,8.5,CP008707,20.78,5.98,16720.0,1476320.0,83610,22.92,7.25,CP008708,594.87,170.82,57425.0,5131804.0,8731,472.27,102.33,CP008709,6193.02,706.21,126836.0,11147303.0,1967,5870.21,608.83
NRA295_S105_L008_R1_001_fastxclipper_trimmed,2031903,182845705,1.0,CP008706,41.85,9.88,1840415.0,165795551.2,3972672,45.61,9.72,CP008707,40.15,11.57,31965.0,2843317.0,83610,43.25,10.59,CP008708,540.01,160.05,52288.0,4666530.0,8731,709.31,226.46,CP008709,4534.29,543.04,93930.0,8170941.0,1967,4025.84,209.69
NRA296_S106_L008_R1_001_fastxclipper_trimmed,2010910,181109654,1.0,CP008706,42.57,11.3,1868569.0,168339699.56,3972672,44.31,10.24,CP008707,28.45,8.94,13958.0,1238376.0,83610,30.65,9.48,CP008708,394.36,117.44,37681.0,3374579.0,8731,240.61,27.75,CP008709,3804.03,450.1,78112.0,6854766.0,1967,3310.91,135.36
NRA297_S107_L008_R1_001_fastxclipper_trimmed,1571390,145855320,1.0,CP008706,32.34,9.02,1381019.0,128344667.67,3972672,33.59,8.1,CP008707,26.07,8.06,15852.0,1465785.0,83610,27.52,8.18,CP008708,671.13,222.39,62501.0,5758417.0,8731,859.31,134.15,CP008709,5040.46,638.83,99737.0,9024410.0,1967,4771.42,512.14
NRA298_S108_L008_R1_001_fastxclipper_trimmed,1094667,101969930,1.0,CP008706,22.19,6.65,944549.0,88112122.0,3972672,22.3,5.64,CP008707,24.29,7.5,12963.0,1207000.0,83610,25.63,5.57,CP008708,555.17,177.66,51353.0,4748014.0,8731,757.12,330.07,CP008709,3874.62,495.84,76467.0,6946916.0,1967,3344.42,265.55
NRA299_S109_L008_R1_001_fastxclipper_trimmed,1350251,124266383,1.0,CP008706,27.28,7.43,1170671.0,107862099.6,3972672,28.59,6.9,CP008707,33.1,9.61,25490.0,2332073.0,83610,36.3,10.08,CP008708,613.21,187.31,57616.0,5268097.0,8731,423.91,75.5,CP008709,4305.73,522.58,86010.0,7728522.0,1967,3657.34,183.57
NRA301_S110_L008_R1_001_fastxclipper_trimmed,1035081,96682011,1.0,CP008706,18.97,5.36,804958.0,75392902.0,3972672,19.51,5.06,CP008707,15.09,4.34,11334.0,1059749.0,83610,16.48,4.81,CP008708,922.13,272.9,85094.0,7907207.0,8731,1122.19,134.08,CP008709,6107.92,735.18,120397.0,10974510.0,1967,5606.52,570.21
NRA302_S111_L008_R1_001_fastxclipper_trimmed,2093878,189026153,1.0,CP008706,43.9,10.43,1924004.0,173767793.33,3972672,47.52,10.06,CP008707,52.67,15.4,41963.0,3733624.0,83610,55.69,17.35,CP008708,593.35,186.38,57024.0,5123736.0,8731,361.35,53.13,CP008709,2942.57,348.78,60382.0,5298808.0,1967,2589.03,123.87
NRA303_S112_L008_R1_001_fastxclipper_trimmed,1780504,161007490,1.0,CP008706,35.64,9.15,1550709.0,140434567.33,3972672,37.56,8.62,CP008707,13.9,4.84,6884.0,619641.0,83610,20.72,11.17,CP008708,797.52,243.96,76447.0,6875364.0,8731,570.08,105.71,CP008709,6366.97,770.53,130641.0,11468697.0,1967,5356.92,141.29
